,x,y,z,ind,time,group
0,4.8631873478996575,9.609451063508185,7.748597232133538e-304,0,now,pretx
1,3.2708538408642687,15.78948352718032,7.748597232133538e-304,1,now,pretx
2,3.2708538408642687,15.78948352718032,7.748597232133538e-304,1,now,pretx
3,5.011342098755972,3.344136811088846,7.748597232133538e-304,2,now,unsampled
4,5.504257295476233,12.437183875966777,7.748597232133538e-304,3,now,unsampled
5,1.4331866049095152,9.655610185209959,7.748597232133538e-304,4,now,unsampled
6,4.02030672441054,11.23904156223832,7.748597232133538e-304,5,now,unsampled
7,6.518425308815307,8.013707482450526,7.748597232133538e-304,6,now,pretx
8,6.518425308815307,8.013707482450526,7.748597232133538e-304,6,now,pretx
9,6.518425308815307,8.013707482450526,7.748597232133538e-304,6,now,pretx
10,4.957229821449659,4.3489835719291605,7.748597232133538e-304,7,now,unsampled
11,5.128988050432757,6.649977661556141,7.748597232133538e-304,8,now,pretx
12,3.318619280960756,11.904010805370362,7.748597232133538e-304,9,now,unsampled
13,4.646608045952499,14.897835984172623,7.748597232133538e-304,10,now,unsampled
14,3.1630311058321725,4.455987777370971,7.748597232133538e-304,11,now,pretx
15,5.009398649248926,9.374123755953768,7.748597232133538e-304,12,now,pretx
16,5.009398649248926,9.374123755953768,7.748597232133538e-304,12,now,pretx
17,5.063672963120546,13.45361668493253,7.748597232133538e-304,13,now,pretx
18,5.642008932399072,11.061765008035731,7.748597232133538e-304,14,now,pretx
19,4.110389869240749,13.997652307104698,7.748597232133538e-304,15,now,pretx
20,4.110389869240749,13.997652307104698,7.748597232133538e-304,15,now,pretx
21,4.072864390972908,14.773105601218703,7.748597232133538e-304,16,now,unsampled
22,4.916733328111589,8.130197894803347,7.748597232133538e-304,17,now,unsampled
23,3.0314273164330445,5.980655242014769,7.748597232133538e-304,18,now,unsampled
24,5.815073940226119,15.10160796114429,7.748597232133538e-304,19,now,pretx
25,2.93171383492591,11.18071391476039,7.748597232133538e-304,20,now,unsampled
26,4.713022127955434,7.151318514144709,7.748597232133538e-304,21,now,pretx
27,4.713022127955434,7.151318514144709,7.748597232133538e-304,21,now,pretx
28,4.713022127955434,7.151318514144709,7.748597232133538e-304,21,now,pretx
29,4.945447810094238,11.663726889212361,7.748597232133538e-304,22,now,pretx
30,4.945447810094238,11.663726889212361,7.748597232133538e-304,22,now,pretx
