,x,y,z,ind,time,group
150,1.9009651464450625,6.332003630775644,5.21501823539686e-310,136,now,pretx
151,15.09474320866763,9.736830758560666,0.0,137,now,unsampled
152,8.272327851130369,12.282853817586766,-2.949213859438518e+307,138,now,unsampled
153,6.670525116116232,14.675795523909557,0.0,139,now,unsampled
154,6.207578326969764,13.683706881628883,2.1219957905e-314,140,now,unsampled
155,5.202434600154485,2.7886059575040316,5e-323,141,now,unsampled
156,4.012000658585009,2.6598294690844853,-1.0017023303527443e+305,142,now,pretx
157,15.60578922554191,16.982319326427053,-1.0,143,now,pretx
158,4.474696696417092,12.507015686230616,2.1219963977e-314,144,now,unsampled
159,16.67783380357268,14.878303721040613,5e-323,145,now,unsampled
160,2.773643331518787,3.2191490591921705,-2.949213859438518e+307,146,now,unsampled
161,13.38904448784779,7.783451198367495,2.0,147,now,pretx
162,5.129029640350075,8.437929135176594,-3.807774593896623e+306,148,now,unsampled
163,14.196640772702091,14.639029168589216,2.196225194e-314,149,now,pretx
164,13.494757567369225,14.405710809068689,5.21501823539686e-310,150,now,pretx
165,5.395800774211375,11.822418509149136,-2.949213859438518e+307,151,now,unsampled
166,17.954241310273446,5.4687826954163254,-1.0,152,now,unsampled
167,8.413188155204143,13.921242214950633,5.2150182470228e-310,153,now,pretx
168,4.962703623315164,4.877732795243046,0.0,154,now,unsampled
169,3.632719230721693,5.449500881233937,2.121995791e-314,155,now,unsampled
170,2.4897064727531744,5.273340896686113,-3.807774593896623e+306,156,now,unsampled
171,4.099082526615559,5.62855447726423,5.21501940639806e-310,157,now,unsampled
172,18.14461502148304,9.827449212796509,5.21501823539686e-310,158,now,unsampled
173,4.7364504327398835,15.502866022599889,2.196225194e-314,159,now,unsampled
174,5.8057220486556815,15.875948056638016,0.0,160,now,pretx
175,3.6860593085734568,15.874470400394452,0.0,161,now,pretx
176,3.9603562427463466,7.924471365173294,-3.807774593896623e+306,162,now,unsampled
177,6.067271721659492,12.442019280000256,0.0,163,now,unsampled
178,2.7680079921742466,11.019679921087777,0.0,164,now,unsampled
179,3.1297014835141446,12.308050912069012,0.0,165,now,unsampled
180,2.8831561112589337,12.005556838592858,5.21501823539686e-310,166,now,pretx
181,2.7822247835499994,11.856193868321641,-2.949213859438518e+307,167,now,unsampled
182,5.289816769986047,13.58103161375189,0.0,168,now,unsampled
183,9.519477479794727,11.422773525578409,5.2150168558763e-310,169,now,pretx
184,1.5526381316395803,5.6203165550856395,0.0,170,now,pretx
185,1.8271181842881905,6.540291831184244,2.196225194e-314,171,now,pretx
186,16.244434667907495,15.913706692810825,5.21501823539686e-310,172,now,unsampled
187,16.563152182155306,16.1997410091412,5.2150194058953e-310,173,now,pretx
188,13.327130315100796,13.758932350621276,-2.949213859438518e+307,174,now,unsampled
189,12.946740622735819,16.36240917005044,-1.0,175,now,unsampled
190,13.924532845777495,16.03028547872247,5e-323,176,now,unsampled
191,6.472278973355566,17.31702637406354,5.21501874158807e-310,177,now,unsampled
192,7.321669276520419,16.975460625085493,0.0,178,now,unsampled
193,17.50365226789095,10.680204515090642,2.196225194e-314,179,now,pretx
194,7.202011324213921,14.468745040840185,0.0,180,now,unsampled
195,15.83995191973534,9.4138718554156,0.0,181,now,unsampled
196,15.968879609330601,9.092184868870481,2.1219957905e-314,182,now,pretx
197,17.130995285925092,12.093440956930678,5.2150201049365e-310,183,now,pretx
198,7.536136613777666,7.963017815499888,2.1219957905e-314,184,now,unsampled
199,7.16539766962859,7.499639564942763,2.1219957905e-314,185,now,unsampled
200,6.775766986796511,9.292681860991573,0.0,186,now,pretx
201,18.40373443593243,15.451277528337743,-1.0,187,now,pretx
202,2.575421852894521,14.34465021970723,-2.949213859438518e+307,188,now,unsampled
203,4.43301727481077,13.175432425019737,5.21501823539686e-310,189,now,unsampled
204,4.166574493036356,12.859131739744623,5.2150201038828e-310,190,now,pretx
205,4.166574493036356,12.859131739744623,5.2150201038828e-310,190,now,pretx
206,5.777229235323591,15.103610869059352,2.196225194e-314,191,now,unsampled
207,4.790153599913116,13.259260158286212,0.0,192,now,pretx
208,4.865078645903254,14.118144816144552,0.0,193,now,unsampled
209,16.012529445711014,1.2572816465430299,0.0,194,now,pretx
210,16.012529445711014,1.2572816465430299,0.0,194,now,pretx
211,17.56852948559828,3.345053810111467,2.196225194e-314,195,now,unsampled
212,17.27454507507983,2.850182773170136,0.0,196,now,unsampled
213,17.991822897946754,12.615228217316647,0.0,197,now,pretx
214,9.01150024071731,9.536853640201915,0.0,198,now,unsampled
215,8.226988398400945,8.122051263381433,5.21501823539686e-310,199,now,unsampled
216,16.11716344925957,7.711807548981243,0.0,200,now,unsampled
217,16.816378041713158,7.759430961562209,-2.949213859438518e+307,201,now,pretx
218,14.229310139514034,13.469385533645719,2.196225194e-314,202,now,pretx
219,14.229310139514034,13.469385533645719,2.196225194e-314,202,now,pretx
220,3.334293639228235,12.623088442108084,0.0,203,now,pretx
221,6.194571293718278,6.545621831327269,-3.807774593896623e+306,204,now,pretx
222,1.3144832563266884,12.09619119389488,5.21501823539686e-310,205,now,unsampled
223,19.26313953842145,17.3799731365168,0.0,206,now,pretx
224,5.246156505625708,3.7297145621385472,0.0,207,now,unsampled
225,5.935513939895034,3.7433447232853774,0.0,208,now,unsampled
226,14.935974909188696,7.647526110135037,-1.0,209,now,pretx
227,14.015021466975824,7.449365447239295,-2.949213859438518e+307,210,now,pretx
228,14.496703460567097,7.633312120999977,0.0,211,now,pretx
229,14.496703460567097,7.633312120999977,0.0,211,now,pretx
230,14.496703460567097,7.633312120999977,0.0,211,now,pretx
231,17.354028003870084,14.487521983142967,0.0,212,now,unsampled
232,13.313874060945833,6.081520961863728,0.0,213,now,pretx
233,13.313874060945833,6.081520961863728,0.0,213,now,pretx
234,13.313874060945833,6.081520961863728,0.0,213,now,pretx
235,4.283855953163851,5.160882777777605,0.0,214,then,unsampled
236,3.3649378585928926,12.956161168795463,0.0,215,then,unsampled
237,6.114529692219218,3.870544963024732,5.21501874317856e-310,216,then,unsampled
238,7.283201301206657,7.477433653694585,0.0,217,then,unsampled
239,3.5550409562965557,5.679932631859172,2.196225194e-314,218,then,posttx
240,4.912342492832831,12.964919969907676,2.196225194e-314,219,then,unsampled
241,4.029616989646118,8.521080056341761,unsampled,220,then,unsampled
