,x,y,z,ind,time,group
29,5.964201204763144,6.768610307094465,0.0,21,now,pretx
30,5.964201204763144,6.768610307094465,0.0,21,now,pretx
31,5.628876011334256,11.822524360137928,0.0,22,now,pretx
32,5.628876011334256,11.822524360137928,0.0,22,now,pretx
33,2.2083369147729086,12.988300088596917,0.0,23,now,pretx
34,1.5586792548136186,12.13860526931644,0.0,24,now,unsampled
35,2.197892063327983,11.392025736611693,0.0,25,now,pretx
36,2.197892063327983,11.392025736611693,0.0,25,now,pretx
37,16.72174757711598,12.02087625978714,78682231.0,26,now,pretx
38,14.346620406232041,14.48635945661086,0.0,27,now,pretx
39,14.346620406232041,14.48635945661086,0.0,27,now,pretx
40,4.936976352566344,13.897339228537346,33247825.0,28,now,unsampled
41,15.032064509173303,7.3373078129573335,0.0,29,now,pretx
42,2.9303209466295304,12.276036429924158,0.0,30,now,unsampled
43,6.272430112130959,4.992281876485958,5393579.0,31,now,pretx
44,6.272430112130959,4.992281876485958,5393579.0,31,now,pretx
45,6.272430112130959,4.992281876485958,5393579.0,31,now,pretx
46,2.5656029261752127,7.500994110265094,0.0,32,now,pretx
47,2.5656029261752127,7.500994110265094,0.0,32,now,pretx
48,2.5656029261752127,7.500994110265094,0.0,32,now,pretx
49,2.5656029261752127,7.500994110265094,0.0,32,now,pretx
50,2.5656029261752127,7.500994110265094,0.0,32,now,pretx
51,4.428898828363172,4.986712065713824,0.0,33,now,pretx
52,4.428898828363172,4.986712065713824,0.0,33,now,pretx
53,2.7502240785727223,11.46193967976155,55145639.0,34,now,pretx
54,3.8379205523933058,7.41643226912488,0.0,35,now,pretx
55,3.8379205523933058,7.41643226912488,0.0,35,now,pretx
56,4.075386720634976,7.541151167234757,48066074.0,36,now,pretx
57,1.7786729607464293,8.015188817188868,0.0,37,now,pretx
58,4.624822013795271,8.714893142422564,0.0,38,now,pretx
59,4.624822013795271,8.714893142422564,0.0,38,now,pretx
60,5.672771958241137,8.159006469126316,12875538.0,39,now,pretx
61,5.672771958241137,8.159006469126316,12875538.0,39,now,pretx
62,5.672771958241137,8.159006469126316,12875538.0,39,now,pretx
63,6.0057876518572435,6.37129443602924,0.0,40,now,pretx
64,4.6232389355152685,13.370990110324112,0.0,41,now,pretx
65,4.6232389355152685,13.370990110324112,0.0,41,now,pretx
66,4.6232389355152685,13.370990110324112,0.0,41,now,pretx
67,3.5911201012057363,12.8979265325735,0.0,42,now,pretx
68,3.5911201012057363,12.8979265325735,0.0,42,now,pretx
69,3.218088110270933,12.747184529218705,80139385.0,43,now,pretx
70,3.218088110270933,12.747184529218705,80139385.0,43,now,pretx
71,3.218088110270933,12.747184529218705,80139385.0,43,now,pretx
72,1.3292357278202105,6.643776113692785,4538162.0,44,now,unsampled
73,1.3048563976815473,6.737298515877176,6621176.0,45,now,pretx
74,3.2886881981229754,14.896913874458441,0.0,46,now,unsampled
75,4.149567932284068,10.226549570704952,0.0,47,now,unsampled
76,15.49362073255741,7.61369138436575,63363538.0,48,now,pretx
77,15.920684905979023,8.353567197227948,99785887.0,49,now,pretx
78,16.124417903515734,6.98153889244556,66783205.0,50,now,pretx
79,16.48142441768823,7.6383243300611685,0.0,51,now,pretx
80,4.767613640029064,11.447782637756717,0.0,52,now,unsampled
81,4.48127304510576,12.22808391435336,0.0,53,now,pretx
82,2.124049421667293,5.887998610877288,52310385.0,54,now,pretx
83,2.124049421667293,5.887998610877288,52310385.0,54,now,pretx
84,3.3553693920061254,10.82163159077169,29221318.0,55,now,pretx
85,6.470811425402458,8.752619019664793,0.0,56,now,pretx
86,6.470811425402458,8.752619019664793,0.0,56,now,pretx
87,7.55033471398192,8.716333848220602,0.0,57,now,pretx
88,6.481784328009933,9.017497473040173,56869007.0,58,now,pretx
89,3.7953206741615424,9.91425724710819,0.0,59,now,pretx
90,4.24964051317037,8.18495547100226,83615965.0,60,now,pretx
91,4.24964051317037,8.18495547100226,83615965.0,60,now,pretx
92,4.374555224012047,12.600642324328113,90327833.0,61,now,unsampled
93,2.4112256950053097,4.7209470049556925,0.0,62,now,pretx
94,2.4112256950053097,4.7209470049556925,0.0,62,now,pretx
95,2.4112256950053097,4.7209470049556925,0.0,62,now,pretx
96,2.4112256950053097,4.7209470049556925,0.0,62,now,pretx
97,4.377199843386574,14.09746917509497,0.0,63,now,unsampled
98,15.03687230575768,9.496452084080278,58650678.0,64,now,pretx
99,6.043553929250982,12.489075973782095,0.0,65,now,pretx
100,5.62014952006848,12.452629207133821,85081962.0,66,now,pretx
101,5.62014952006848,12.452629207133821,85081962.0,66,now,pretx
102,5.62014952006848,12.452629207133821,85081962.0,66,now,pretx
103,4.130684681870568,9.758827662365132,14002025.0,67,now,unsampled
104,5.097831625607156,9.646081987095153,0.0,68,now,pretx
105,4.502522986064296,8.148928485957331,0.0,69,now,pretx
106,2.9377717660998455,8.799632024558703,0.0,70,now,pretx
107,2.3428982882542777,13.067283169197268,0.0,71,now,pretx
108,2.0957449673257145,7.73294180902653,21652143.0,72,now,unsampled
109,1.2492983090845897,12.762112753691964,95983446.0,73,now,pretx
110,1.70467565154226,11.717734303775032,66705742.0,74,now,pretx
111,1.70467565154226,11.717734303775032,66705742.0,74,now,pretx
112,1.5825371307714458,11.164037746639883,95995997.0,75,now,pretx
113,16.399179800168632,12.19735604879087,98042614.0,76,now,pretx
114,16.177148346354418,13.034731263624138,85686702.0,77,now,unsampled
115,16.188896710111678,12.81504412254571,29467081.0,78,now,pretx
116,16.188896710111678,12.81504412254571,29467081.0,78,now,pretx
117,16.188896710111678,12.81504412254571,29467081.0,78,now,pretx
118,5.392975662462239,14.647648865460734,24784239.0,79,now,pretx
119,5.171111548695714,13.762054164901027,99097149.0,80,now,pretx
120,15.492417473373823,7.138249969207745,83767934.0,81,now,pretx
121,15.399554422851377,7.190701333755094,0.0,82,now,pretx
122,4.806184918069896,13.560932912423596,74771849.0,83,then,unsampled
123,13.633760775372219,9.657921711781562,0.0,84,then,posttx
124,2.521971888415629,10.279635571873134,0.0,87,then,unsampled
125,2.486592161761626,15.78496039010593,64285247.0,88,then,unsampled
126,5.249880426273343,5.908699374221661,0.0,89,then,posttx
127,5.442767888252115,9.360749153359235,0.0,90,then,unsampled
128,3.408281751654642,5.565387180250769,75673984.0,92,then,posttx
129,5.9877832016368435,7.430731831454704,18545567.0,96,then,posttx
