,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
0,83,83,0.0,1.872e-05,2.414640883781993,9.93343525089541,-2.949213859438518e+307,83,now,pretx,2.414640883781993,9.93343525089541,-2.949213859438518e+307,83,now,pretx,now
1,83,230,14.540921447347857,5.4885e-05,2.414640883781993,9.93343525089541,-2.949213859438518e+307,83,now,pretx,15.416841152231822,16.44351856196479,-2.949213859438518e+307,230,now,pretx,now
2,230,230,0.0,2e-05,15.416841152231822,16.44351856196479,-2.949213859438518e+307,230,now,pretx,15.416841152231822,16.44351856196479,-2.949213859438518e+307,230,now,pretx,now
3,83,40,3.2194140126587385,2.791e-05,2.414640883781993,9.93343525089541,-2.949213859438518e+307,83,now,pretx,5.07476990545944,11.746813361751729,-2.949213859438518e+307,40,now,pretx,now
4,230,40,11.358586065660834,5.384e-05,15.416841152231822,16.44351856196479,-2.949213859438518e+307,230,now,pretx,5.07476990545944,11.746813361751729,-2.949213859438518e+307,40,now,pretx,now
5,40,40,0.0,1.42e-05,5.07476990545944,11.746813361751729,-2.949213859438518e+307,40,now,pretx,5.07476990545944,11.746813361751729,-2.949213859438518e+307,40,now,pretx,now
33,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
34,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
35,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
36,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
37,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
38,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
39,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
40,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
41,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
42,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
43,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
44,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
45,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
