,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
17,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
18,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
19,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
20,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
21,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
22,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
23,40,31,20184166.00000196,2.7915e-05,15.108557720013053,15.641860844955284,32653999.0,40,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
24,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
25,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
26,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
27,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
28,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
29,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
30,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
31,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
32,182,31,12469833.000000477,1.861e-05,17.097630465753955,9.72456406010517,0.0,182,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
33,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
34,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
35,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
36,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
37,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
