vcf_label	tskit_id	slim_id	birth_time_ago	age	x	y
tsk_203	203	253667	32.0	2	3.7163407513987985	8.349498411112382
tsk_372	372	254370	30.0	0	5.004824848164856	6.572463327391718
tsk_380	380	254397	30.0	0	6.6469109710949414	4.389456645972774
tsk_303	303	254181	30.0	0	3.2236580832106787	4.315806113208016
tsk_213	213	253789	32.0	2	5.205266988960261	2.627604810221055
tsk_234	234	253892	31.0	1	5.601077344406782	4.752247038062553
tsk_191	191	253454	33.0	3	1.5187479576764054	5.173096133203771
tsk_238	238	253920	31.0	1	0.8064469043607764	5.416670123460577
tsk_200	200	253589	32.0	2	1.461874879961895	7.82315422680876
tsk_344	344	254283	30.0	0	9.747227941697092	2.460021820192351
tsk_209	209	253752	32.0	2	1.570581483083941	6.281361576210787
tsk_272	272	254126	30.0	0	8.737587244428742	6.212990580277262
tsk_384	384	254404	30.0	0	2.6531984858761866	1.156657884513574
tsk_178	178	250867	42.0	12	1.5178815015814402	2.958728125196141
tsk_327	327	254248	30.0	0	0.9350475232428811	4.499773298536282
tsk_184	184	253119	34.0	4	1.503787582053764	4.565759187455146
tsk_210	210	253771	32.0	2	2.41908715330443	5.959822956373282
tsk_276	276	254130	30.0	0	2.149619943460876	4.97138298777305
tsk_210	210	253771	32.0	2	2.41908715330443	5.959822956373282
tsk_320	320	254228	30.0	0	2.2154510828423866	5.919213938719947
tsk_209	209	253752	32.0	2	1.570581483083941	6.281361576210787
tsk_256	256	254050	31.0	1	3.9130120150602004	1.9983599896152042
tsk_258	258	254063	31.0	1	1.0255717079561415	8.210769736384163
