vcf_label	tskit_id	slim_id	birth_time_ago	age	x	y
tsk_261	261	254094	31.0	1	4.414240062152983	6.393966808507647
tsk_218	218	253837	31.0	1	9.210107165831719	6.824304501607897
tsk_379	379	254395	30.0	0	7.6227268178408565	4.073227195315822
tsk_360	360	254335	30.0	0	2.1505687849988244	5.771694398352717
tsk_209	209	253752	32.0	2	1.570581483083941	6.281361576210787
tsk_382	382	254400	30.0	0	4.50240925800441	5.701022452879357
tsk_269	269	254112	30.0	0	3.095407336265838	7.041683026803795
tsk_217	217	253827	31.0	1	6.737674156559605	6.753384047730909
tsk_268	268	254111	30.0	0	3.212457142016927	5.473423713934962
tsk_331	331	254256	30.0	0	0.8138951945858041	6.578537726054956
tsk_357	357	254325	30.0	0	8.948664142136332	7.837137857330164
tsk_184	184	253119	34.0	4	1.503787582053764	4.565759187455146
tsk_301	301	254177	30.0	0	1.8013313393397044	7.027055742624552
tsk_351	351	254308	30.0	0	0.6438146979183549	5.81745813470811
tsk_190	190	253404	33.0	3	1.5383037508823976	6.347814419486027
tsk_227	227	253865	31.0	1	4.580843382182935	1.5631396070919643
tsk_372	372	254370	30.0	0	5.004824848164856	6.572463327391718
tsk_381	381	254398	30.0	0	2.474539762814567	4.879158650434029
tsk_375	375	254384	30.0	0	0.4603343855471429	7.318121903968196
tsk_370	370	254362	30.0	0	2.0830680615943313	2.1624801992989835
tsk_190	190	253404	33.0	3	1.5383037508823976	6.347814419486027
tsk_199	199	253573	32.0	2	3.5195168133585004	7.726605507573
tsk_226	226	253864	31.0	1	1.5290590548375802	1.48668416539949
tsk_219	219	253847	31.0	1	1.4295682349060632	4.509331446285807
tsk_257	257	254057	31.0	1	0.9813661539214735	6.03596639513376
tsk_268	268	254111	30.0	0	3.212457142016927	5.473423713934962
tsk_368	368	254360	30.0	0	2.429502046360262	4.386165896358649
tsk_235	235	253904	31.0	1	1.1155835647446055	8.018975128853352
tsk_325	325	254241	30.0	0	9.87713732970896	4.103635791081112
tsk_339	339	254273	30.0	0	1.9318597067603152	4.963043906318113
tsk_365	365	254346	30.0	0	4.201555204531776	7.760635444629017
tsk_217	217	253827	31.0	1	6.737674156559605	6.753384047730909
tsk_321	321	254233	30.0	0	6.9906858949441375	9.563660486060128
tsk_214	214	253790	32.0	2	8.491627563016847	4.812687799197007
tsk_243	243	253927	31.0	1	2.13420299906338	4.882626644523952
tsk_307	307	254191	30.0	0	1.8288534250422355	2.3843785341911747
tsk_294	294	254164	30.0	0	1.9152085856142207	1.5750961575897096
tsk_349	349	254293	30.0	0	0.33946471571551395	7.073758137135292
tsk_193	193	253486	33.0	3	1.9589822068875218	3.3127838783311923
tsk_281	281	254142	30.0	0	0.654583962851994	6.5317968079259074
tsk_364	364	254342	30.0	0	0.5425133065659058	5.1892219071994266
tsk_296	296	254170	30.0	0	8.059834912636072	5.816530296960492
